id,formula,reduced_formula,elements,n_elements,nsites,volume,density,crystal_system,space_group,space_group_number,point_group,dimensionality,corrected_energy,formation_energy_per_atom,decomposition_energy_per_atom,decomposition_energy_relative,bandgap_ev,bandgap_type,gnome_material_id,source,data_version,created_at
Be2Co7Tm3,Be2Co7Tm3,Tm3Be2Co7,Be; Co; Tm,3,12,1616304.0,96301.0,trigonal,R-3m,166,-3m,intercalated ion,-740948.0,-2859.0,-124.0,-47.0,0.0024,semiconductor,0004ff10f9,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.196521Z
B24Ca1Ru4Y7,B24Ca1Ru4Y7,CaY7(B6Ru)4,B; Ca; Y; Ru,4,36,3878003.0,56786.0,monoclinic,Pm,6,m,intercalated ion,-2673327.0,-6294.0,-13.0,-11.0,0.0118,semiconductor,00053cdba6,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.199043Z
Sc18Tc6V2,Sc18Tc6V2,Sc9VTc3,Sc; V; Tc,3,26,5297063.0,46994.0,hexagonal,P6_3/mmc,194,6/mmm,3D,-1987908.0,-1721.0,-444.0,-56.0,0.0027,semiconductor,0005d6281e,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.201620Z
B6Er4Mn2Pa1,B6Er4Mn2Pa1,Er4Pa(MnB3)2,B; Mn; Er; Pa,4,13,1853869.0,96273.0,trigonal,R-3m,166,-3m,3D,-936139.0,-5714.0,-925.0,-807.0,0.0017,semiconductor,00064a0e7a,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.204542Z
Ga4Li1Ru3Sm4,Ga4Li1Ru3Sm4,LiSm4Ga4Ru3,Li; Ga; Ru; Sm,4,12,2438018.0,81084.0,monoclinic,Pm,6,m,intercalated ion,-665945.0,-4896.0,-475.0,-223.0,0.0058,semiconductor,00073791f5,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.207175Z
Ag1Ga2In1Mg2Y3,Ag1Ga2In1Mg2Y3,Y3Mg2InGa2Ag,Mg; Ga; Y; Ag; In,5,9,2059845.0,54613.0,orthorhombic,Amm2,38,mm2,3D,-387863.0,-5051.0,-148.0,-11.0,0.0044,semiconductor,000781d28d,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.209779Z
Al2Cs4Ga2Ge4Se16,Al2Cs4Ga2Ge4Se16,Cs2AlGa(GeSe4)2,Al; Ga; Ge; Se; Cs,5,28,9890978.0,3826.0,monoclinic,P2_1,4,2,intercalated ion,-1201189.0,-10201.0,-548.0,5.0,,semiconductor,0008017d9e,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.212293Z
Co12Ni8P12Tb4,Co12Ni8P12Tb4,TbCo3Ni2P3,P; Co; Ni; Tb,4,36,4465068.0,81227.0,orthorhombic,Pnma,62,mmm,3D,-2456504.0,-8503.0,-252.0,-25.0,0.0023,semiconductor,00093dbe6a,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.214874Z
Bi8Ga4Tb13Y7,Bi8Ga4Tb13Y7,Tb13Y7(GaBi2)4,Ga; Y; Tb; Bi,4,32,9211967.0,83624.0,monoclinic,Pm,6,m,3D,-1699346.0,-6622.0,-113.0,3.0,0.0012,semiconductor,000a0b7cb3,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.217366Z
B2Cu5Nd1Ni8Sr2,B2Cu5Nd1Ni8Sr2,Sr2NdCu5(Ni4B)2,B; Ni; Cu; Sr; Nd,5,18,2555037.0,73334.0,orthorhombic,Cmmm,65,mmm,3D,-928873.0,-258.0,-212.0,-14.0,0.0032,semiconductor,000a208383,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.220003Z
Nb8S16Zr2,Nb8S16Zr2,Zr(NbS2)4,S; Zr; Nb,3,26,5089093.0,46945.0,hexagonal,P6_3/mmc,194,6/mmm,,-2045524.0,-15563.0,-487.0,-153.0,,semiconductor,000a5cd7c6,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.222874Z
Ag5La1Zn7,Ag5La1Zn7,LaZn7Ag5,Zn; Ag; La,3,13,2289017.0,82418.0,orthorhombic,Imm2,44,mm2,3D,-305102.0,-1995.0,-184.0,6.0,,semiconductor,000ac4e4b5,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.225420Z
Cu1Ge3La2Mg3Zn2,Cu1Ge3La2Mg3Zn2,La2Mg3Zn2CuGe3,Mg; Cu; Zn; Ge; La,5,11,2298635.0,5512.0,orthorhombic,Amm2,38,mm2,3D,-403584.0,-4725.0,-196.0,9.0,0.0007,semiconductor,000ad30f55,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.227905Z
Eu1Li4Nd3O16Sr8,Eu1Li4Nd3O16Sr8,Sr8Li4Nd3EuO16,Li; O; Sr; Nd; Eu,5,32,4887931.0,53316.0,monoclinic,Pm,6,m,intercalated ion,-2237477.0,-30885.0,-289.0,-17.0,0.0108,semiconductor,000b556e59,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.230573Z
Bi8P4Tm18Y2,Bi8P4Tm18Y2,YTm9(Bi2P)2,P; Y; Tm; Bi,4,32,8400648.0,99118.0,orthorhombic,Pmc2_1,26,mm2,,-172894.0,-832.0,-85.0,2.0,,semiconductor,000b6006cb,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.233477Z
Ag3Er10In1Ni4Y6,Ag3Er10In1Ni4Y6,Y6Er10InNi4Ag3,Ni; Y; Ag; In; Er,5,24,5931481.0,80605.0,trigonal,R3m,160,3m,3D,-1265886.0,-3226.0,-18.0,-1.0,,semiconductor,000bbe5337,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.236246Z
As1Ge2Nb4P1Zr4,As1Ge2Nb4P1Zr4,Zr4Nb4Ge2AsP,P; Ge; As; Zr; Nb,5,12,2208538.0,74262.0,monoclinic,Pm,6,m,3D,-1038718.0,-8298.0,-625.0,6.0,0.0044,semiconductor,000c71488c,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.238871Z
Ca1La6O3Si8Y3,Ca1La6O3Si8Y3,CaLa6Y3Si8O3,O; Si; Ca; Y; La,5,21,457494.0,51284.0,orthorhombic,Amm2,38,mm2,intercalated ion,-1411299.0,-15173.0,-274.0,0.0,0.0032,semiconductor,000d87f1cd,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.241872Z
C6Cr11Mn9Mo2Si1,C6Cr11Mn9Mo2Si1,Mn9Cr11Si(MoC3)2,C; Si; Cr; Mn; Mo,5,29,2942725.0,76654.0,orthorhombic,Imm2,44,mm2,3D,-2752363.0,-142.0,-149.0,4.0,0.0003,semiconductor,000ec0af31,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.244664Z
Al20Nd1Ru4Tm1,Al20Nd1Ru4Tm1,NdTm(Al5Ru)4,Al; Ru; Nd; Tm,4,26,4295073.0,48601.0,orthorhombic,Amm2,38,mm2,3D,-1345909.0,-513.0,-144.0,5.0,0.0075,semiconductor,000f231f87,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.247724Z
Cd6Li2Ru2Tb9Y9,Cd6Li2Ru2Tb9Y9,Li2Tb9Y9(Cd3Ru)2,Li; Y; Ru; Cd; Tb,5,28,7601373.0,68178.0,trigonal,P3m1,156,3m,intercalated ion,-1354213.0,-2718.0,-229.0,1.0,,semiconductor,000f71d36e,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.409325Z
Cu2Er6Ge1Si5,Cu2Er6Ge1Si5,Er6Cu2Si5Ge,Si; Cu; Ge; Er,4,14,2758293.0,80894.0,monoclinic,Cm,8,m,3D,-777132.0,-7399.0,-15.0,-5.0,0.0023,semiconductor,000fa6264b,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.412015Z
